100, 956727, 1, 0, 0
101, 606346, 0, 0, 0
200, 596272, 0, 0, 0
204, 934127, 1, 0, 0
300, 592082, 0, 0, 0
303, 958627, 1, 0, 0
400, 934263, 1, 0, 0
401, 593354, 0, 0, 0
500, 926953, 1, 0, 0
502, 574807, 0, 0, 0
600, 619689, 0, 0, 0
605, 896187, 1, 0, 0
700, 590822, 0, 0, 0
700, 888899, 1, 0, 0
800, 607040, 0, 0, 0
801, 892012, 1, 0, 0
900, 559947, 0, 0, 0
900, 898350, 1, 0, 0
1000, 604536, 0, 0, 0
1001, 914093, 1, 0, 0
1100, 873830, 1, 0, 0
1101, 576065, 0, 0, 0
1200, 591373, 0, 0, 0
1202, 879180, 1, 0, 0
1300, 942667, 1, 0, 0
1301, 603822, 0, 0, 0
1400, 940083, 1, 0, 0
1400, 593303, 0, 0, 0
1500, 877035, 1, 0, 0
1501, 584635, 0, 0, 0
1600, 867091, 1, 0, 0
1607, 576030, 0, 0, 0
1700, 593854, 0, 0, 0
1703, 892381, 1, 0, 0
1800, 567395, 0, 0, 0
1802, 894563, 1, 0, 0
1900, 569843, 0, 0, 0
1902, 882005, 1, 0, 0
2000, 549846, 0, 0, 0
2002, 884701, 1, 0, 0
2100, 589669, 0, 0, 0
2102, 930674, 1, 0, 0
2200, 588831, 0, 0, 0
2201, 900609, 1, 0, 0
2300, 879827, 1, 0, 0
2301, 585609, 0, 0, 0
2400, 588385, 0, 0, 0
2406, 866576, 1, 0, 0
2500, 897733, 1, 0, 0
2500, 574313, 0, 0, 0
2600, 588714, 0, 0, 0
2601, 851777, 1, 0, 0
2700, 577091, 0, 0, 0
2702, 878644, 1, 0, 0
2800, 572778, 0, 0, 0
2801, 886339, 1, 0, 0
2900, 948967, 1, 0, 0
2901, 574253, 0, 0, 0
3000, 581768, 0, 0, 0
3003, 914067, 1, 0, 0
3100, 880400, 1, 0, 0
3100, 575685, 0, 0, 0
3202, 906167, 1, 0, 0
3202, 561372, 0, 0, 0
3300, 573436, 0, 0, 0
3302, 960137, 1, 0, 0
3400, 889206, 1, 0, 0
3401, 576962, 0, 0, 0
3500, 570584, 0, 0, 0
3501, 852140, 1, 0, 0
3600, 874859, 1, 0, 0
3600, 598007, 0, 0, 0
3700, 903346, 1, 0, 0
3700, 577399, 0, 0, 0
3800, 888632, 1, 0, 0
3801, 556622, 0, 0, 0
3900, 570954, 0, 0, 0
3902, 877475, 1, 0, 0
4000, 584778, 0, 0, 0
4001, 875153, 1, 0, 0
4100, 838239, 1, 0, 0
4100, 557718, 0, 0, 0
4200, 576087, 0, 0, 0
4201, 868396, 1, 0, 0
4300, 884600, 1, 0, 0
4302, 569964, 0, 0, 0
4401, 881524, 1, 0, 0
4405, 581433, 0, 0, 0
4500, 860556, 1, 0, 0
4502, 553344, 0, 0, 0
4600, 539864, 0, 0, 0
4601, 830664, 1, 0, 0
4700, 885472, 1, 0, 0
4702, 570343, 0, 0, 0
4800, 558037, 0, 0, 0
4800, 870333, 1, 0, 0
4900, 567593, 0, 0, 0
4901, 894431, 1, 0, 0
5000, 851052, 1, 0, 0
