100, 1488278, 0, 0, 0
100, 3153845, 1, 0, 0
200, 1417904, 0, 0, 0
202, 3013600, 1, 0, 0
300, 1330826, 0, 0, 0
300, 2951580, 1, 0, 0
400, 1396886, 0, 0, 0
400, 2954908, 1, 0, 0
500, 3018023, 1, 0, 0
500, 1426442, 0, 0, 0
600, 2970382, 1, 0, 0
600, 1387970, 0, 0, 0
700, 1419341, 0, 0, 0
703, 3211184, 1, 0, 0
800, 1444372, 0, 0, 0
800, 3023745, 1, 0, 0
900, 2989824, 1, 0, 0
902, 1395474, 0, 0, 0
1000, 2979333, 1, 0, 0
1003, 1440575, 0, 0, 0
1100, 1423729, 0, 0, 0
1102, 3035323, 1, 0, 0
1200, 1440059, 0, 0, 0
1200, 2961293, 1, 0, 0
1300, 3045291, 1, 0, 0
1301, 1439904, 0, 0, 0
1400, 3115513, 1, 0, 0
1400, 1380969, 0, 0, 0
1500, 1382077, 0, 0, 0
1501, 3045194, 1, 0, 0
1600, 1408003, 0, 0, 0
1605, 2963540, 1, 0, 0
1701, 3269467, 1, 0, 0
1701, 1398318, 0, 0, 0
1800, 1476371, 0, 0, 0
1802, 3105647, 1, 0, 0
1900, 1442275, 0, 0, 0
1904, 3189498, 1, 0, 0
2000, 3087451, 1, 0, 0
2000, 1474493, 0, 0, 0
2100, 1388609, 0, 0, 0
2100, 2945353, 1, 0, 0
2200, 1380714, 0, 0, 0
2200, 2980840, 1, 0, 0
2300, 1461809, 0, 0, 0
2301, 3019466, 1, 0, 0
2400, 1481483, 0, 0, 0
2401, 3090171, 1, 0, 0
2500, 2971859, 1, 0, 0
2501, 1465119, 0, 0, 0
2600, 1368881, 0, 0, 0
2600, 2996975, 1, 0, 0
2700, 3026345, 1, 0, 0
2700, 1507217, 0, 0, 0
2802, 2979426, 1, 0, 0
2803, 1444168, 0, 0, 0
2900, 3184395, 1, 0, 0
2900, 1357375, 0, 0, 0
3000, 3042976, 1, 0, 0
3000, 1444261, 0, 0, 0
3100, 1476005, 0, 0, 0
3101, 3113803, 1, 0, 0
3200, 1405525, 0, 0, 0
3202, 3045761, 1, 0, 0
3300, 3123324, 1, 0, 0
3300, 1502353, 0, 0, 0
3400, 3135557, 1, 0, 0
3400, 1423768, 0, 0, 0
3500, 1429848, 0, 0, 0
3500, 3156165, 1, 0, 0
3600, 1502633, 0, 0, 0
3601, 3021755, 1, 0, 0
3700, 1326977, 0, 0, 0
3700, 3062625, 1, 0, 0
3800, 1444717, 0, 0, 0
3800, 2917479, 1, 0, 0
3900, 1385734, 0, 0, 0
3900, 2875039, 1, 0, 0
4000, 1320825, 0, 0, 0
4002, 2942353, 1, 0, 0
4100, 2949780, 1, 0, 0
4100, 1312278, 0, 0, 0
4200, 1396647, 0, 0, 0
4200, 2948884, 1, 0, 0
4300, 3169397, 1, 0, 0
4301, 1419821, 0, 0, 0
4400, 1380158, 0, 0, 0
4400, 3105533, 1, 0, 0
4501, 1397129, 0, 0, 0
4501, 3127199, 1, 0, 0
4600, 1409766, 0, 0, 0
4605, 2946975, 1, 0, 0
4700, 1412819, 0, 0, 0
4705, 2866770, 1, 0, 0
4800, 2901623, 1, 0, 0
4800, 1367142, 0, 0, 0
4900, 1395193, 0, 0, 0
4902, 2933631, 1, 0, 0
5000, 2926248, 1, 0, 0
5000, 1454003, 0, 0, 0
5100, 2885847, 1, 0, 0
5100, 1370082, 0, 0, 0
5200, 1376277, 0, 0, 0
5204, 2989170, 1, 0, 0
5300, 1468381, 0, 0, 0
5300, 2952198, 1, 0, 0
5400, 1412386, 0, 0, 0
5400, 3144521, 1, 0, 0
5500, 1407722, 0, 0, 0
5501, 3008938, 1, 0, 0
5600, 3021916, 1, 0, 0
5600, 1374049, 0, 0, 0
5700, 1446926, 0, 0, 0
5700, 3179491, 1, 0, 0
5800, 1371346, 0, 0, 0
5800, 3032229, 1, 0, 0
5900, 1397163, 0, 0, 0
5901, 3020212, 1, 0, 0
6000, 1374259, 0, 0, 0
6003, 2915626, 1, 0, 0
6100, 1390225, 0, 0, 0
6100, 2974572, 1, 0, 0
6200, 1391796, 0, 0, 0
6200, 3129244, 1, 0, 0
6300, 1433919, 0, 0, 0
6301, 3069310, 1, 0, 0
6400, 1378333, 0, 0, 0
6400, 3065559, 1, 0, 0
6500, 2854697, 1, 0, 0
6500, 1456644, 0, 0, 0
6600, 1503722, 0, 0, 0
6600, 2912301, 1, 0, 0
6700, 3029562, 1, 0, 0
6700, 1379561, 0, 0, 0
6800, 1410729, 0, 0, 0
6801, 2949323, 1, 0, 0
6900, 1385107, 0, 0, 0
6900, 2834777, 1, 0, 0
7000, 1379153, 0, 0, 0
7000, 3071934, 1, 0, 0
7100, 1414429, 0, 0, 0
7104, 3007614, 1, 0, 0
7201, 2899852, 1, 0, 0
7203, 1414179, 0, 0, 0
7300, 1316478, 0, 0, 0
7302, 2991021, 1, 0, 0
7400, 1384582, 0, 0, 0
7401, 2848583, 1, 0, 0
7501, 3035864, 1, 0, 0
7501, 1363469, 0, 0, 0
7600, 1354366, 0, 0, 0
7601, 2958443, 1, 0, 0
7700, 1372172, 0, 0, 0
7700, 2930601, 1, 0, 0
7801, 1408901, 0, 0, 0
7801, 2978860, 1, 0, 0
7900, 2937967, 1, 0, 0
7900, 1432189, 0, 0, 0
8000, 3042690, 1, 0, 0
8000, 1464161, 0, 0, 0
8101, 1415990, 0, 0, 0
8101, 3016850, 1, 0, 0
8200, 3181154, 1, 0, 0
8201, 1395046, 0, 0, 0
8300, 3002936, 1, 0, 0
8300, 1468079, 0, 0, 0
8400, 1398243, 0, 0, 0
8401, 3041882, 1, 0, 0
8500, 1417424, 0, 0, 0
8500, 3166646, 1, 0, 0
8600, 1391859, 0, 0, 0
8603, 3005688, 1, 0, 0
8700, 1488222, 0, 0, 0
8701, 2884253, 1, 0, 0
8800, 1400393, 0, 0, 0
8801, 3077164, 1, 0, 0
8901, 1420314, 0, 0, 0
8902, 3008510, 1, 0, 0
9000, 1428328, 0, 0, 0
9003, 3042800, 1, 0, 0
9100, 1390513, 0, 0, 0
9102, 2935763, 1, 0, 0
9200, 1415419, 0, 0, 0
9201, 3057735, 1, 0, 0
9300, 1388319, 0, 0, 0
9301, 3084159, 1, 0, 0
9400, 1427764, 0, 0, 0
9401, 3258958, 1, 0, 0
9502, 3066412, 1, 0, 0
9504, 1438474, 0, 0, 0
9600, 1493524, 0, 0, 0
9601, 3171390, 1, 0, 0
9700, 1388866, 0, 0, 0
9704, 3038069, 1, 0, 0
9800, 3157200, 1, 0, 0
9802, 1429336, 0, 0, 0
9900, 1418467, 0, 0, 0
9901, 3023778, 1, 0, 0
10001, 3047550, 1, 0, 0
10002, 1409190, 0, 0, 0
10100, 1374859, 0, 0, 0
10103, 2939464, 1, 0, 0
10200, 1411377, 0, 0, 0
10201, 2830966, 1, 0, 0
10300, 1380270, 0, 0, 0
10300, 3094324, 1, 0, 0
10400, 1375646, 0, 0, 0
10402, 3069342, 1, 0, 0
10500, 3178054, 1, 0, 0
10500, 1394306, 0, 0, 0
10600, 1461516, 0, 0, 0
10603, 2930088, 1, 0, 0
10700, 3110093, 1, 0, 0
10700, 1420612, 0, 0, 0
10800, 1394438, 0, 0, 0
10802, 3027778, 1, 0, 0
10900, 2948179, 1, 0, 0
10900, 1447309, 0, 0, 0
11001, 1447227, 0, 0, 0
11002, 2893257, 1, 0, 0
11100, 1385116, 0, 0, 0
11100, 2954176, 1, 0, 0
11200, 2745300, 1, 0, 0
11200, 1424264, 0, 0, 0
11300, 1364024, 0, 0, 0
11301, 2964377, 1, 0, 0
11400, 1349062, 0, 0, 0
11402, 2886675, 1, 0, 0
11500, 3184870, 1, 0, 0
11501, 1387227, 0, 0, 0
11600, 3118162, 1, 0, 0
11600, 1399141, 0, 0, 0
11700, 3022486, 1, 0, 0
11701, 1419876, 0, 0, 0
11800, 1392897, 0, 0, 0
